"rechteckgraben";"ritus";"alterbem";"aalter";"g_loc08_id";"grabkonstr";"grabhoehenlage";"laenge";"breite";"tiefe";"leichenbeh";"holzreste";"steinpackungsunterlage";"steinabdeckung";"brandspuren";"steinkiste";"steinkranz";"steineinfassunglangseite";"steineinfassungschmalseite";"gruenspan";"ausrichtung";"kopfbekannt";"tangentiallage";"phase";"individuenzahl";"folgegrab";"zusammenmitgrab";"geschlecht";"geschlecht_arch";"g_bem"
f;560;"";534;73;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;74;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;75;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;76;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;550;"leer
";534;3077;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;2;f;"leer
";514;514;"Eine Skelett und Reste eines Zweiten.
Genaueres wird nicht erwähnt.
"
f;555;"leer
";534;13667;401;424;0.5;0.5;0.3;448;f;f;t;t;f;f;f;f;f;470;f;490;502;0;f;"leer
";514;514;"leer
"
f;560;"";534;80;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;81;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;550;"leer
";534;9155;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;487;502;0;f;"leer
";514;514;"Ascheschicht
"
f;560;"";534;84;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;550;"leer
";534;13735;406;424;0;0;0;448;f;f;t;f;f;f;f;f;f;470;f;490;502;0;f;"leer
";512;514;"leer
"
f;560;"leer
";534;3469;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;1;f;"leer
";514;514;"leer
"
f;560;"";534;87;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;88;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;89;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;90;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;91;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;92;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;93;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;94;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;96;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;97;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;98;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;99;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;100;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;101;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;103;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;105;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;106;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;108;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;550;" 

";534;9145;406;420;0;0;0;448;f;f;t;f;f;f;f;f;f;481;f;487;500;0;f;"0

";514;510;" 

"
f;560;"";534;110;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;111;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;112;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;120;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;121;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;125;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;126;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;127;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;128;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;555;"leer
";534;14000;406;424;1.5;0.9;0;447;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"leer
";514;514;"leer
"
