"loc09_id";"loc09_loc08_id";"loc09_nam";"loc09_typ";"loc09_text_beschr";"loc09_text_bem";"loc09_text_lit";"x";"y";"loc09_autochron"
1750;;"xx";224;"";"";"";;;"undatiert"
1751;;"xx";224;"";"";"";;;"undatiert"
1752;;"xx";224;"";"";"";;;"undatiert"
1753;;"xx";224;"";"";"";;;"undatiert"
1756;;"xx";224;"";"";"";;;"undatiert"
1757;;"xx";224;"";"";"";;;"undatiert"
1759;;"xx";224;"";"";"";;;"undatiert"
1760;;"xx";224;"";"";"";;;"undatiert"
1762;;"xx";224;"";"";"";;;"undatiert"
1763;;"xx";224;"";"";"";;;"undatiert"
1764;;"xx";224;"";"";"";;;"undatiert"
1772;;"xx";224;"";"";"";;;"undatiert"
1785;;"xx";224;"";"";"";;;"undatiert"
1786;;"xx";224;"";"";"";;;"undatiert"
1787;;"xx";224;"";"";"";;;"undatiert"
1788;;"xx";224;"";"";"";;;"undatiert"
1789;;"xx";224;"";"";"";;;"undatiert"
1800;;"xx";224;"";"";"";;;"undatiert"
1802;;"xx";224;"";"";"";;;"undatiert"
1804;;"xx";224;"";"";"";;;"undatiert"
1805;;"xx";224;"";"";"";;;"undatiert"
1806;;"xx";224;"";"";"";;;"undatiert"
1808;;"xx";224;"";"";"";;;"undatiert"
1809;;"xx";224;"";"";"";;;"undatiert"
1810;;"xx";224;"";"";"";;;"undatiert"
1815;;"xx";224;"";"";"";;;"undatiert"
1822;;"xx";224;"";"";"";;;"undatiert"
1824;;"xx";224;"";"";"";;;"undatiert"
1826;;"xx";224;"";"";"";;;"undatiert"
1828;;"xx";224;"";"";"";;;"undatiert"
1829;;"xx";224;"";"";"";;;"undatiert"
1830;;"xx";224;"";"";"";;;"undatiert"
1831;;"xx";224;"";"";"";;;"undatiert"
1884;;"xx";224;"";"";"";;;"undatiert"
1890;;"xx";224;"";"";"";;;"undatiert"
1895;;"xx";224;"";"";"";;;"undatiert"
1896;;"xx";224;"";"";"";;;"undatiert"
1908;;"xx";224;"";"";"";;;"undatiert"
1910;;"xx";224;"";"";"";;;"undatiert"
1911;;"xx";224;"";"";"";;;"undatiert"
1914;;"xx";224;"";"";"";;;"undatiert"
1922;;"xx";224;"";"";"";;;"undatiert"
1951;;"xx";224;"";"";"";;;"undatiert"
1955;;"xx";224;"";"";"";;;"undatiert"
1956;;"xx";224;"";"";"";;;"undatiert"
1957;;"xx";224;"";"";"";;;"undatiert"
1986;;"xx";224;"";"";"";;;"undatiert"
1987;;"xx";224;"";"";"";;;"undatiert"
1988;;"xx";224;"";"";"";;;"undatiert"
1993;;"xx";224;"";"";"";;;"undatiert"
1995;;"xx";224;"";"";"";;;"undatiert"
1997;;"xx";224;"";"";"";;;"undatiert"
2002;;"xx";224;"";"";"";;;"undatiert"
2003;;"xx";224;"";"";"";;;"undatiert"
2004;;"xx";224;"";"";"";;;"undatiert"
2005;;"xx";224;"";"";"";;;"undatiert"
2006;;"xx";224;"";"";"";;;"undatiert"
2008;;"xx";224;"";"";"";;;"undatiert"
2009;;"xx";224;"";"";"";;;"undatiert"
2010;;"xx";224;"";"";"";;;"undatiert"
2011;;"xx";224;"";"";"";;;"undatiert"
2012;;"xx";224;"";"";"";;;"undatiert"
2013;;"xx";224;"";"";"";;;"undatiert"
2056;;"xx";224;"";"";"";;;"undatiert"
2057;;"xx";224;"";"";"";;;"undatiert"
2067;;"xx";224;"";"";"";;;"undatiert"
2074;;"xx";224;"";"";"";;;"undatiert"
2075;;"xx";224;"";"";"";;;"undatiert"
2076;;"xx";224;"";"";"";;;"undatiert"
2079;;"xx";224;"";"";"";;;"undatiert"
2080;;"xx";224;"";"";"";;;"undatiert"
2081;;"xx";224;"";"";"";;;"undatiert"
2082;;"xx";224;"";"";"";;;"undatiert"
2083;;"xx";224;"";"";"";;;"undatiert"
2090;;"xx";224;"";"";"";;;"undatiert"
2091;;"xx";224;"";"";"";;;"undatiert"
2092;;"xx";224;"";"";"";;;"undatiert"
2094;;"xx";224;"";"";"";;;"undatiert"
2102;;"xx";224;"";"";"";;;"undatiert"
2103;;"xx";224;"";"";"";;;"undatiert"
2104;;"xx";224;"";"";"";;;"undatiert"
2105;;"xx";224;"";"";"";;;"undatiert"
2114;;"xx";224;"";"";"";;;"undatiert"
2116;;"xx";224;"";"";"";;;"undatiert"
2121;;"xx";224;"";"";"";;;"undatiert"
2129;;"xx";224;"";"";"";;;"undatiert"
2132;;"xx";224;"";"";"";;;"undatiert"
2133;;"xx";224;"";"";"";;;"undatiert"
2134;;"xx";224;"";"";"";;;"undatiert"
2135;;"xx";224;"";"";"";;;"undatiert"
2145;;"xx";224;"";"";"";;;"undatiert"
2153;;"xx";224;"";"";"";;;"undatiert"
2154;;"xx";224;"";"";"";;;"undatiert"
2155;;"xx";224;"";"";"";;;"undatiert"
2177;;"xx";224;"";"";"";;;"undatiert"
2178;;"xx";224;"";"";"";;;"undatiert"
2183;;"xx";224;"";"";"";;;"undatiert"
2185;;"xx";224;"";"";"";;;"undatiert"
2188;;"xx";224;"";"";"";;;"undatiert"
2190;;"xx";224;"";"";"";;;"undatiert"
2210;;"xx";224;"";"";"";;;"undatiert"
2211;;"xx";224;"";"";"";;;"undatiert"
2227;;"xx";224;"";"";"";;;"undatiert"
2235;;"xx";224;"";"";"";;;"undatiert"
2255;;"xx";224;"";"";"";;;"undatiert"
2259;;"xx";224;"";"";"";;;"undatiert"
2261;;"xx";224;"";"";"";;;"undatiert"
2267;;"xx";224;"";"";"";;;"undatiert"
2268;;"xx";224;"";"";"";;;"undatiert"
2270;;"xx";224;"";"";"";;;"undatiert"
2272;;"xx";224;"";"";"";;;"undatiert"
2273;;"xx";224;"";"";"";;;"undatiert"
2275;;"xx";224;"";"";"";;;"undatiert"
2276;;"xx";224;"";"";"";;;"undatiert"
2277;;"xx";224;"";"";"";;;"undatiert"
2279;;"xx";224;"";"";"";;;"undatiert"
2312;;"xx";224;"";"";"";;;"undatiert"
2319;;"xx";224;"";"";"";;;"undatiert"
2327;;"xx";224;"";"";"";;;"undatiert"
2357;;"xx";224;"";"";"";;;"undatiert"
2379;;"xx";224;"";"";"";;;"undatiert"
2384;;"xx";224;"";"";"";;;"undatiert"
2444;;"xx";224;"";"";"";;;"undatiert"
2449;;"xx";224;"";"";"";;;"undatiert"
2452;;"xx";224;"";"";"";;;"undatiert"
2459;;"xx";224;"";"";"";;;"undatiert"
2463;;"xx";224;"";"";"";;;"undatiert"
2465;;"xx";224;"";"";"";;;"undatiert"
2476;;"xx";224;"";"";"";;;"undatiert"
2481;;"xx";224;"";"";"";;;"undatiert"
2488;;"xx";224;"";"";"";;;"undatiert"
2489;;"xx";224;"";"";"";;;"undatiert"
2491;;"xx";224;"";"";"";;;"undatiert"
2498;;"xx";224;"";"";"";;;"undatiert"
2501;;"xx";224;"";"";"";;;"undatiert"
2504;;"xx";224;"";"";"";;;"undatiert"
2506;;"xx";224;"";"";"";;;"undatiert"
2508;;"xx";224;"";"";"";;;"undatiert"
2511;;"xx";224;"";"";"";;;"undatiert"
2518;;"xx";224;"";"";"";;;"undatiert"
2524;;"xx";224;"";"";"";;;"undatiert"
2539;;"xx";224;"";"";"";;;"undatiert"
2544;;"xx";224;"";"";"";;;"undatiert"
2551;;"xx";224;"";"";"";;;"undatiert"
2568;;"xx";224;"";"";"";;;"undatiert"
2574;;"xx";224;"";"";"";;;"undatiert"
2579;;"xx";224;"";"";"";;;"undatiert"
2606;;"xx";224;"";"";"";;;"undatiert"
2636;;"xx";224;"";"";"";;;"undatiert"
2652;;"xx";224;"";"";"";;;"undatiert"
2736;;"xx";224;"";"";"";;;"undatiert"
2757;;"xx";224;"";"";"";;;"undatiert"
2758;;"xx";224;"";"";"";;;"undatiert"
2760;;"xx";224;"";"";"";;;"undatiert"
2761;;"xx";224;"";"";"";;;"undatiert"
2763;;"xx";224;"";"";"";;;"undatiert"
2765;;"xx";224;"";"";"";;;"undatiert"
2769;;"xx";224;"";"";"";;;"undatiert"
2771;;"xx";224;"";"";"";;;"undatiert"
2772;;"xx";224;"";"";"";;;"undatiert"
2774;;"xx";224;"";"";"";;;"undatiert"
2775;;"xx";224;"";"";"";;;"undatiert"
2794;;"xx";224;"";"";"";;;"undatiert"
2808;;"xx";224;"";"";"";;;"undatiert"
2810;;"xx";224;"";"";"";;;"undatiert"
2812;;"xx";224;"";"";"";;;"undatiert"
2830;;"xx";224;"";"";"";;;"undatiert"
2832;;"xx";224;"";"";"";;;"undatiert"
2833;;"xx";224;"";"";"";;;"undatiert"
2844;;"xx";224;"";"";"";;;"undatiert"
2845;;"xx";224;"";"";"";;;"undatiert"
2846;;"xx";224;"";"";"";;;"undatiert"
2849;;"xx";224;"";"";"";;;"undatiert"
2852;;"xx";224;"";"";"";;;"undatiert"
2905;;"xx";224;"";"";"";;;"undatiert"
2911;;"xx";224;"";"";"";;;"undatiert"
2912;;"xx";224;"";"";"";;;"undatiert"
2918;;"xx";224;"";"";"";;;"undatiert"
2919;;"xx";224;"";"";"";;;"undatiert"
2920;;"xx";224;"";"";"";;;"undatiert"
2923;;"xx";224;"";"";"";;;"undatiert"
2933;;"xx";224;"";"";"";;;"undatiert"
2934;;"xx";224;"";"";"";;;"undatiert"
2936;;"xx";224;"";"";"";;;"undatiert"
2938;;"xx";224;"";"";"";;;"undatiert"
2948;;"xx";224;"";"";"";;;"undatiert"
2949;;"xx";224;"";"";"";;;"undatiert"
2950;;"xx";224;"";"";"";;;"undatiert"
2971;;"xx";224;"";"";"";;;"undatiert"
2973;;"xx";224;"";"";"";;;"undatiert"
2974;;"xx";224;"";"";"";;;"undatiert"
2976;;"xx";224;"";"";"";;;"undatiert"
2978;;"xx";224;"";"";"";;;"undatiert"
2979;;"xx";224;"";"";"";;;"undatiert"
2987;;"xx";224;"";"";"";;;"undatiert"
2998;;"xx";224;"";"";"";;;"undatiert"
3003;;"xx";224;"";"";"";;;"undatiert"
3007;;"xx";224;"";"";"";;;"undatiert"
3014;;"xx";224;"";"";"";;;"undatiert"
3019;;"xx";224;"";"";"";;;"undatiert"
3024;;"xx";224;"";"";"";;;"undatiert"
3026;;"xx";224;"";"";"";;;"undatiert"
3043;;"xx";224;"";"";"";;;"undatiert"
3044;;"xx";224;"";"";"";;;"undatiert"
3045;;"xx";224;"";"";"";;;"undatiert"
3046;;"xx";224;"";"";"";;;"undatiert"
3047;;"xx";224;"";"";"";;;"undatiert"
3053;;"xx";224;"";"";"";;;"undatiert"
3054;;"xx";224;"";"";"";;;"undatiert"
3055;;"xx";224;"";"";"";;;"undatiert"
3064;;"xx";224;"";"";"";;;"undatiert"
3066;;"xx";224;"";"";"";;;"undatiert"
3080;;"xx";224;"";"";"";;;"undatiert"
3082;;"xx";224;"";"";"";;;"undatiert"
3084;;"xx";224;"";"";"";;;"undatiert"
3085;;"xx";224;"";"";"";;;"undatiert"
3097;;"xx";224;"";"";"";;;"undatiert"
3103;;"xx";224;"";"";"";;;"undatiert"
3110;;"xx";224;"";"";"";;;"undatiert"
3127;;"xx";224;"";"";"";;;"undatiert"
3130;;"xx";224;"";"";"";;;"undatiert"
3133;;"xx";224;"";"";"";;;"undatiert"
3137;;"xx";224;"";"";"";;;"undatiert"
3141;;"xx";224;"";"";"";;;"undatiert"
3142;;"xx";224;"";"";"";;;"undatiert"
3144;;"xx";224;"";"";"";;;"undatiert"
3149;;"xx";224;"";"";"";;;"undatiert"
3151;;"xx";224;"";"";"";;;"undatiert"
3153;;"xx";224;"";"";"";;;"undatiert"
3156;;"xx";224;"";"";"";;;"undatiert"
3162;;"xx";224;"";"";"";;;"undatiert"
3168;;"xx";224;"";"";"";;;"undatiert"
3171;;"xx";224;"";"";"";;;"undatiert"
3203;;"xx";224;"";"";"";;;"undatiert"
3206;;"xx";224;"";"";"";;;"undatiert"
3211;;"xx";224;"";"";"";;;"undatiert"
3214;;"xx";224;"";"";"";;;"undatiert"
3218;;"xx";224;"";"";"";;;"undatiert"
3220;;"xx";224;"";"";"";;;"undatiert"
3226;;"xx";224;"";"";"";;;"undatiert"
3244;;"xx";224;"";"";"";;;"undatiert"
3251;;"xx";224;"";"";"";;;"undatiert"
3270;;"xx";224;"";"";"";;;"undatiert"
3272;;"xx";224;"";"";"";;;"undatiert"
3276;;"xx";224;"";"";"";;;"undatiert"
3277;;"xx";224;"";"";"";;;"undatiert"
3279;;"xx";224;"";"";"";;;"undatiert"
3280;;"xx";224;"";"";"";;;"undatiert"
3282;;"xx";224;"";"";"";;;"undatiert"
3294;;"xx";224;"";"";"";;;"undatiert"
3317;;"xx";224;"";"";"";;;"undatiert"
3322;;"xx";224;"";"";"";;;"undatiert"
3325;;"xx";224;"";"";"";;;"undatiert"
3332;;"xx";224;"";"";"";;;"undatiert"
3334;;"xx";224;"";"";"";;;"undatiert"
3336;;"xx";224;"";"";"";;;"undatiert"
3339;;"xx";224;"";"";"";;;"undatiert"
3364;;"xx";224;"";"";"";;;"undatiert"
3365;;"xx";224;"";"";"";;;"undatiert"
3381;;"xx";224;"";"";"";;;"undatiert"
3383;;"xx";224;"";"";"";;;"undatiert"
3387;;"xx";224;"";"";"";;;"undatiert"
