"loc04_id";"loc04_loc03_id";"loc04_nam";"loc04_code";"x";"y"
215;84;"DINGOLFING-LANDAU";"DE22C";3766019.23836;5395373.02747
216;85;"AMBERG";"DE231";3706231.33547;5483445.21693
217;85;"REGENSBURG";"DE232";3727556.02897;5434970.36332
218;85;"WEIDEN I.D. OPF";"DE233";3727746.94526;5508265.09651
219;85;"AMBERG-SULZBACH";"DE234";3702820.28696;5486985.6122
220;85;"CHAM";"DE235";3769029.95259;5462017.19359
221;85;"NEUMARKT I.D. OPF";"DE236";3686933.31446;5456379.30773
222;85;"NEUSTADT A. D. WALDNAAB";"DE237";3723557.55619;5510257.96055
223;85;"REGENSBURG";"DE238";3728242.90649;5436033.02805
224;85;"SCHWANDORF";"DE239";3736355.87933;5475124.59215
225;85;"TIRSCHENREUTH";"DE23A";3729900.51639;5534158.89758
226;86;"BAMBERG";"DE241";3636440.79642;5529306.66005
227;86;"BAYREUTH";"DE242";3685510.48084;5536908.41851
228;86;"COBURG";"DE243";3640486.08685;5571297.54949
229;86;"HOF";"DE244";3706482.51081;5578877.68852
230;86;"BAMBERG";"DE245";3635162.56615;5529964.10533
231;86;"BAYREUTH";"DE246";3683461.46533;5530714.02908
232;86;"COBURG";"DE247";3638649.18169;5571723.28487
233;86;"FORCHHEIM";"DE248";3656621.74692;5511550.07193
234;86;"HOF";"DE249";3701229.54616;5574360.50592
235;86;"KRONACH";"DE24A";3669123.12715;5579404.27678
236;86;"KULMBACH";"DE24B";3677759.58878;5554800.57313
237;86;"LICHTENFELS";"DE24C";3651616.36858;5554416.17972
238;86;"WUNSIEDEL I. FICHTELGEB.";"DE24D";3717821.00116;5554738.7425
239;87;"ANSBACH";"DE251";3614014.57321;5462525.18331
240;87;"ERLANGEN";"DE252";3643030.67659;5495666.27031
241;87;"FÜRTH";"DE253";3642253.09567;5485619.88618
242;87;"NÜRNBERG";"DE254";3651031.83566;5479846.43324
243;87;"SCHWABACH";"DE255";3647138.97492;5468417.9887
244;87;"ANSBACH";"DE256";3606733.18725;5457512.14879
245;87;"ERLANGEN-HÖCHSTADT";"DE257";3638426.88603;5502005.96733
246;87;"FÜRTH";"DE258";3634107.88552;5480407.00306
247;87;"NÜRNBERGER LAND";"DE259";3671545.29322;5486695.40139
248;87;"NEUSTADT(AISCH)-BAD WINDSHEIM";"DE25A";3605926.35413;5493390.7862
249;87;"ROTH";"DE25B";3654595.68469;5453922.28614
250;87;"WEISSENBURG-GUNZENHAUSEN";"DE25C";3638470.98982;5434328.01595
251;88;"ASCHAFFENBURG";"DE261";3510426.94346;5536112.63651
252;88;"SCHWEINFURT";"DE262";3587464.58956;5546330.70948
253;88;"WÜRZBURG";"DE263";3567771.26806;5516964.94282
254;88;"ASCHAFFENBURG";"DE264";3517222.10303;5541280.63901
255;88;"BAD KISSINGEN";"DE265";3568806.69134;5565659.69991
256;88;"RHÖN-GRABFELD";"DE266";3589227.66444;5582378.6069
257;88;"HASSBERGE";"DE267";3615086.01077;5548535.47903
258;88;"KITZINGEN";"DE268";3590401.07103;5513439.61024
259;88;"MILTENBERG";"DE269";3516890.31077;5513293.1375
260;88;"MAIN-SPESSART";"DE26A";3547550.68732;5539733.94154
261;88;"SCHWEINFURT";"DE26B";3590176.8784;5542970.65573
262;88;"WÜRZBURG";"DE26C";3566772.03043;5511500.06981
263;89;"AUGSBURG";"DE271";3639853.26049;5357908.72911
264;89;"KAUFBEUREN";"DE272";3620748.64942;5305711.62389
265;89;"KEMPTEN (ALLGÄU)";"DE273";3598055.87778;5289577.65276
266;89;"MEMMINGEN";"DE274";3586994.39593;5316292.21339
267;89;"AICHACH-FRIEDBERG";"DE275";3651955.31693;5367637.52913
268;89;"AUGSBURG";"DE276";3628417.16201;5358715.5625
269;89;"DILLINGEN A. D. DONAU";"DE277";3612686.94168;5385448.59668
270;89;"GÜNZBURG";"DE278";3602320.06128;5357938.38439
271;89;"NEU-ULM";"DE279";3584689.9457;5351597.30249
272;89;"LINDAU (BODENSEE)";"DE27A";3566516.11118;5274543.28487
273;89;"OSTALLGÄU";"DE27B";3622992.53482;5293621.96765
274;89;"UNTERALLGÄU";"DE27C";3603633.53626;5323145.79393
275;89;"DONAU-RIES";"DE27D";3625728.0453;5409060.99912
276;89;"OBERALLGÄU";"DE27E";3594766.95821;5271070.44046
277;90;"BERLIN-WEST";"DE301";3790472.18259;5826876.09354
278;90;"BERLIN-OST";"DE302";3807484.30648;5828626.60938
279;91;"BRANDENBURG";"DE401";3738653.37888;5813450.33091
280;91;"COTTBUS";"DE402";3870388.03222;5751673.93788
281;91;"FRANKFURT(ODER)";"DE403";3874135.18919;5812757.59263
282;91;"POTSDAM";"DE404";3775669.42296;5815167.26748
283;91;"BARNIM";"DE405";3817282.08194;5864724.69886
284;91;"DAHME-SPREEWALD";"DE406";3830507.40789;5778442.97476
285;91;"ELBE-ELSTER";"DE407";3808615.53709;5729217.22435
286;91;"HAVELLAND";"DE408";3745560.30171;5838344.89588
287;91;"MÄRKISCH-ODERLAND";"DE409";3848636.24254;5842380.28339
