"s_klassen_id";"s_klasse";"s_code";"s_name";"s_bem"
492;"Lage im Huegel";"0";"None";"None"
493;"Lage im Huegel";"0";"None";"None"
494;"Lage im Huegel";"0";"None";"None"
495;"Lage im Huegel";"0";"None";"None"
496;"Lage im Huegel";"0";"None";"None"
497;"Lage im Huegel";"0";"None";"None"
498;"Lage im Huegel";"0";"None";"None"
499;"Lage im Huegel";"0";"None";"None"
387;"Huegelform
";"0";"None";"None"
386;"Huegelform
";"0";"None";"None"
389;"Huegelform
";"0";"None";"None"
388;"Huegelform
";"0";"None";"None"
390;"Huegelform
";"0";"None";"None"
392;"Huegelform
";"0";"None";"None"
391;"Huegelform
";"0";"None";"None"
393;"Huegelform
";"0";"None";"None"
395;"Huegelform
";"0";"None";"None"
397;"Huegelform
";"0";"None";"None"
399;"Huegelform
";"0";"None";"None"
398;"Huegelform
";"0";"None";"None"
396;"Huegelform
";"0";"None";"None"
394;"Huegelform
";"0";"None";"None"
341;"Lokalisationsqualitaet";"etwa";"etwa";"None"
342;"Lokalisationsqualitaet";"Flur";"Flur";"None"
343;"Lokalisationsqualitaet";"Ort";"Ort";"None"
344;"Lokalisationsqualitaet";"Kreis";"Kreis";"None"
345;"Lokalisationsqualitaet";"unbekannt";"unbekannt";"None"
346;"Lokalisationsqualitaet";"0";"None";"None"
347;"Lokalisationsqualitaet";"0";"None";"None"
348;"Lokalisationsqualitaet";"0";"None";"None"
349;"Lokalisationsqualitaet";"0";"None";"None"
350;"Lokalisationsqualitaet";"0";"None";"None"
351;"Lokalisationsqualitaet";"0";"None";"None"
353;"Lokalisationsqualitaet";"0";"None";"None"
354;"Lokalisationsqualitaet";"0";"None";"None"
355;"Lokalisationsqualitaet";"0";"None";"None"
356;"Lokalisationsqualitaet";"0";"None";"None"
357;"Lokalisationsqualitaet";"0";"None";"None"
358;"Lokalisationsqualitaet";"0";"None";"None"
359;"Lokalisationsqualitaet";"0";"None";"None"
352;"Lokalisationsqualitaet";"0";"None";"None"
383;"Huegelform";"Damm";"Damm";"None"
384;"Huegelform";"unbekannt";"unbekannt";"None"
385;"Huegelform";"0";"None";"None"
381;"Huegelform";"Ovalhuegel";"Ovalhuegel";"None"
