"loc03_id";"loc03_loc02_id";"loc03_code";"loc03_nam";"x";"y"
450;98;"TR750";"ARDAHAN";6358243.8603;5140377.57399
451;98;"TR760";"IGDIR";6516925.12286;5051906.26136
452;99;"UA001";"CHERKASSY";5120283.26605;5704354.67813
453;99;"UA002";"CHERNIGOV";5092529.7658;5947705.94125
454;99;"UA003";"CHERNOVTSY";4759558.40234;5489895.21604
455;99;"UA004";"CRIMEA";5484192.86727;5338534.99994
456;99;"UA005";"DNEPROPETROVSK";5407420.79302;5682748.79927
457;99;"UA006";"DONETSK";5624726.16269;5734098.30088
458;99;"UA007";"IVANO-FRANKOVSK";4648629.83706;5514940.97656
459;99;"UA008";"KHAR´KOV";5473328.93207;5870913.5231
460;99;"UA009";"KHERSON";5374558.82797;5473839.68094
461;99;"UA010";"KHMEL´NITSKIY";4795431.03295;5643293.86289
462;99;"UA011";"KIEV";5021060.55244;5798701.29321
463;99;"UA012";"KIROVOGRAD";5199620.193;5633776.68439
464;99;"UA013";"LUHANS´K";5679518.2303;5876530.24939
465;99;"UA014";"L´VOV";4574469.59888;5617227.71858
466;99;"UA015";"NIKOLAYEV";5212633.5486;5513803.7302
467;99;"UA016";"ODESSA";5091107.42835;5394600.48682
468;99;"UA017";"POLTAVA";5276132.6137;5812706.04723
469;99;"UA018";"ROVNO";4716669.64219;5802384.1193
470;99;"UA019";"SUMY";5246785.23462;5970365.52085
471;99;"UA020";"TERNOPOL´";4706726.6891;5608817.3851
472;99;"UA021";"VINNITSA";4938547.32027;5610417.08871
473;99;"UA022";"VOLYN";4607121.18203;5794087.7034
474;99;"UA023";"ZAKARPAT´YE";4556575.7348;5462529.84463
475;99;"UA024";"ZAPOROZH´YE";5511860.4209;5594150.08924
476;99;"UA025";"ZHITOMIR";4872349.06953;5795257.4751
477;100;"UK11";"CLEVELAND";2811918.56835;6111550.87175
478;100;"UK12";"CUMBRIA";2723829.38576;6114353.79111
479;100;"UK13";"NORTHUMBERLAND";2799632.88599;6175978.99524
480;101;"UK21";"HUMBERSIDE";2875431.34295;6003471.65761
481;101;"UK22";"NORTH YORKSHIRE";2821516.74253;6055582.08171
482;101;"UK23";"SOUTH YORKSHIRE";2815423.18438;5978109.86724
483;101;"UK24";"WEST YORKSHIRE";2795889.66272;6009960.44628
484;102;"UK31";"DERBYSHIRE";2808525.27491;5938855.27613
485;102;"UK32";"LEICESTERSHIRE";2824407.81677;5863841.14167
486;102;"UK33";"LINCOLNSHIRE";2881171.91539;5926818.94976
487;103;"UK4";"EAST ANGLIA";2938399.04264;5845516.05119
488;104;"UK51";"BEDFORDSHIRE";2859850.24621;5796401.14044
489;104;"UK52";"BERKSHIRE";2803138.39548;5779375.63931
490;104;"UK53";"SURREY";2853665.36343;5695998.22669
491;104;"UK54";"ESSEX";2917871.77603;5773406.82621
492;104;"UK55";"GREATER LONDON";2867935.79562;5746001.73136
493;104;"UK56";"HAMPSHIRE";2778834.0275;5705068.84093
494;104;"UK57";"KENT";2922361.0246;5709578.44807
495;105;"UK61";"AVON";2729524.4799;5768613.77116
496;105;"UK62";"CORNWALL";2570433.4599;5693959.77828
497;105;"UK63";"DORSET";2681653.37595;5713454.89948
498;106;"UK71";"HEREFORD AND WORCESTER";2736582.28892;5844525.35662
499;106;"UK72";"SHROPSHIRE";2729985.32867;5906130.58384
500;106;"UK73";"WEST MIDLANDS (COUNTY)";2762422.93872;5872805.18514
501;107;"UK81";"CHESHIRE";2731464.93992;5959457.41303
502;107;"UK82";"GREATER MANCHESTER";2752656.06123;5991393.89957
503;107;"UK83";"LANCASHIRE";2737108.99978;6030818.24567
504;107;"UK84";"MERSEYSIDE";2709475.08247;5990353.04318
505;108;"UK91";"CLWYD";2628669.40693;5893882.2714
506;108;"UK92";"GWENT";2647546.33854;5796363.90506
507;109;"UKA1";"BORDERS-CENTRAL-FIFE-LOTHIAN-TAYSIDE";2733190.18501;6298793.81494
508;109;"UKA2";"DUMFRIES AND GALLOWAY";2644434.22988;6250120.79838
509;109;"UKA3";"HIGHLANDS";2686295.60223;6491491.41903
510;109;"UKA4";"GRAMPIAN";2791244.23556;6415436.95185
511;110;"UKB";"NORTHERN IRELAND";2490411.54608;6166698.36239
