"d_klassen_id";"d_klasse";"d_name";"d_code";"d_text_beschr";"d_text_bem";"d_text_lit";"tg"
20627;"B1269413";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>engmundig>niedriger Umbruch";"B1269413";"niedriger Umbruch";"B126941";"None";"None"
20628;"B126942";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>normalmundig";"B126942";"normalmundig";"B12694";"None";"None"
20631;"B1269423";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>normalmundig>niedriger Umbruch";"B1269423";"niedriger Umbruch";"B126942";"None";"None"
20632;"B126943";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>weitmundig";"B126943";"weitmundig";"B12694";"None";"None"
20633;"B1269431";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>weitmundig>hoher Umbruch";"B1269431";"hoher Umbruch";"B126943";"None";"None"
20583;"B1268923";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>normalmundig>niedriger Umbruch";"B1268923";"niedriger Umbruch";"B126892";"None";"None"
20584;"B126893";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>weitmundig";"B126893";"weitmundig";"B12689";"None";"None"
20585;"B1268931";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>weitmundig>hoher Umbruch";"B1268931";"hoher Umbruch";"B126893";"None";"None"
20586;"B1268932";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>weitmundig>mittlerer Umbruch";"B1268932";"mittlerer Umbruch";"B126893";"None";"None"
20587;"B1268933";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>weitmundig>niedriger Umbruch";"B1268933";"niedriger Umbruch";"B126893";"None";"None"
20588;"B126911";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>engmundig";"B126911";"engmundig";"B12691";"None";"None"
20589;"B1269111";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>engmundig>hoher Umbruch";"B1269111";"hoher Umbruch";"B126911";"None";"None"
20590;"B1269112";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>engmundig>mittlerer Umbruch";"B1269112";"mittlerer Umbruch";"B126911";"None";"None"
20591;"B1269113";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>engmundig>niedriger Umbruch";"B1269113";"niedriger Umbruch";"B126911";"None";"None"
20592;"B126912";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>normalmundig";"B126912";"normalmundig";"B12691";"None";"None"
20594;"B1269122";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>normalmundig>mittlerer Umbruch";"B1269122";"mittlerer Umbruch";"B126912";"None";"None"
