"h_loc07_id";"form";"dmbreite";"laenge";"hoehe";"grabzahl";"steinkranz";"kreisgraben";"pfosten";"stele";"stratigraphie";"h_bem";"pfostenstellungen"
12854;380;20;0;2.5;0;f;f;f;f;f;"anscheinend war ein tiefes Loch in diesem Hügel zu finden";f
27;384;0;0;0;0;f;f;f;f;f;"leer";f
28;384;0;0;0;0;f;f;f;f;f;"";f
12;384;0;0;0;0;f;f;f;f;f;"leer";f
26;384;0;0;0;0;f;f;f;f;f;"leer";f
13;384;0;0;0;0;f;f;f;f;f;"leer";f
14;384;0;0;0;0;f;f;f;f;f;"leer";f
15;384;0;0;0;0;f;f;f;f;f;"leer";f
16;384;0;0;0;0;f;f;f;f;f;"leer";f
91;380;10;0;1.1;0;f;f;f;f;f;"angegraben";f
92;384;12;0;0.7;0;f;f;f;f;f;"";f
93;380;10;0;0.7;0;f;f;f;f;f;"";f
94;380;10;0;0.4;0;f;f;f;f;f;"";f
95;380;5;0;0.3;0;f;f;f;f;f;"";f
141;380;52;0;1.5;0;f;f;f;f;f;"";f
142;380;35;0;0.8;0;f;f;f;f;f;"";f
97;380;15;0;0.8;0;t;f;f;f;f;"leer";f
99;380;9;0;0.4;0;f;f;f;f;f;"leer";f
98;380;9;0;0.4;0;f;f;f;f;f;"leer";f
100;380;12;0;0.4;0;f;f;f;f;f;"unberührt. Steinsatz: Von W nach O ein sich erstreckendes Oval von 6 auf 4,2 m, an einer Stelle am Nordrand des Steinsatzes sind sauber aufeinander geschichtete Steinplatten zu sehen, der Steinsatz ist hier 60 cm hoch. Er verflacht sich nach Süden hin und ist hier nur noch als eine Steinlage vorhanden, einige Lücken sind hier in der Steinsetzung zu erkenne, von denen man allerdings nicht weiß, ob sie gewollt sind oder von alten Störungen kommen.";f
101;380;10;0;0.4;0;f;f;f;f;f;"";f
599;380;16;0;0.8;0;f;f;f;f;f;"";f
604;380;15;0;0.2;0;f;f;f;f;f;"leer";f
603;380;15;0;0.4;0;f;f;f;f;f;"";f
602;380;14;0;0.3;0;f;f;f;f;f;"";f
601;380;16;0;0.8;0;f;f;f;f;f;"";f
600;380;18;0;1;0;f;f;f;f;f;"";f
767;380;20;0;1;0;f;f;f;f;f;"";f
769;380;20;0;0.5;0;f;f;f;f;f;"";f
768;380;25;0;0.4;0;f;f;f;f;f;"";f
641;380;13;0;0.3;0;f;f;f;f;f;"Ausgrabung 1973. es konnte kein Grab festgestellt werden. aus der Huegelschuettung einige Ha-Scherben.";f
642;380;17;0;0.3;0;f;f;f;f;f;"";f
643;380;14;0;0.3;0;f;f;f;f;f;"";f
644;380;16;0;1.2;0;f;f;f;f;f;"";f
645;380;22;0;1;0;f;f;f;f;f;"";f
646;380;16;0;1;0;f;f;f;f;f;"";f
647;380;15;0;1;0;f;f;f;f;f;"";f
648;380;30;0;1.3;0;f;f;f;f;f;"";f
649;380;19;0;0.6;0;f;f;f;f;f;"";f
1265;380;8;0;0.2;0;f;f;f;f;f;"ganz abgeflacht";f
1264;380;18;0;0.5;0;f;f;f;f;f;"etwas unregelmäßig";f
1261;380;16;0;0.5;1;f;f;f;f;f;"leer";f
1262;380;10;0;0.3;0;f;f;f;f;f;"ganz abgeflacht";f
1211;380;18;0;1.2;0;f;f;f;f;f;"Grabung, Loch";f
1243;380;20;0;1.2;3;f;t;f;t;f;"In der Huegelschuettung befand sich ein Sandsteinblock. der m. w. von einer Stele einer fruehen Phase stammt. Kreisgraben mit Innendurchmesser von 13 m. Die Stele bekroente wohl als menschenaehnliche Figur den Huegel.";f
1217;380;20;0;1.5;0;f;f;f;f;f;"Loch, Dachsbau";f
1246;384;0;0;0;0;f;f;f;f;f;"leer";f
1247;380;0;0;0;2;f;f;f;f;f;"Brandplatte";f
1260;384;0;0;0;0;f;f;f;f;f;"leer";f
1259;384;0;0;0;0;f;f;f;f;f;"leer";f
1258;384;0;0;0;0;f;f;f;f;f;"leer";f
1257;384;0;0;0;0;f;f;f;f;f;"leer";f
1256;384;0;0;0;0;f;f;f;f;f;"leer";f
1304;384;0;0;0;0;f;f;f;f;f;"leer";f
1300;384;0;0;0;0;f;f;f;f;f;"leer";f
1302;384;0;0;0;0;f;f;f;f;f;"leer";f
1303;384;0;0;0;0;f;f;f;f;f;"leer";f
1301;384;0;0;0;0;f;f;f;f;f;"leer";f
1306;384;0;0;0;0;f;f;f;f;f;"leer";f
1305;384;0;0;0;0;f;f;f;f;f;"leer";f
1307;384;0;0;0;0;f;f;f;f;f;"leer";f
1309;384;0;0;0;0;f;f;f;f;f;"leer";f
1310;384;0;0;0;0;f;f;f;f;f;"leer";f
1311;384;0;0;0;0;f;f;f;f;f;"leer";f
1312;384;0;0;0;0;f;f;f;f;f;"leer";f
1298;384;0;0;0;0;f;f;f;f;f;"leer";f
1308;384;0;0;0;0;f;f;f;f;f;"leer";f
1299;384;0;0;0;0;f;f;f;f;f;"leer";f
12848;384;0;0;0;0;f;f;f;f;f;"alle Hügel sind zwischen 0,5 - 1 m hoch und haben einen Dm von 14 - 30 m.";f
12849;384;0;0;0;0;f;f;f;f;f;"alle Hügel sind zwischen 0,5 - 1 m hoch und haben einen Dm von 14 - 30 m.";f
12850;384;0;0;0;0;f;f;f;f;f;"alle Hügel sind zwischen 0,5 - 1 m hoch und haben einen Dm von 14 - 30 m.";f
1315;380;0;0;0;0;f;f;f;f;f;"Huegelcharakter fraglich";f
1316;380;13;0;0.8;0;f;f;f;f;f;"";f
1317;380;17;0;1.5;0;f;f;f;f;f;"";f
1318;380;18;0;1;0;f;f;f;f;f;"";f
1319;380;7;0;0.3;0;f;f;f;f;f;"leer";f
1320;380;13;0;1;0;f;f;f;f;f;"";f
1321;380;16;0;1;0;f;f;f;f;f;"";f
1322;384;0;0;0;0;f;f;f;f;f;"Huegelcharakter fraglich.";f
1323;380;12;0;1.1;0;f;f;f;f;f;"";f
1347;380;30;0;1.5;0;f;f;f;f;f;"leer";f
1348;384;0;0;0;0;f;f;f;f;f;"leer";f
1349;384;0;0;0;0;f;f;f;f;f;"leer";f
1350;384;0;0;0;0;f;f;f;f;f;"leer";f
1351;384;0;0;0;0;f;f;f;f;f;"leer";f
1352;384;0;0;0;0;f;f;f;f;f;"leer";f
1353;384;0;0;0;0;f;f;f;f;f;"leer";f
1354;384;0;0;0;0;f;f;f;f;f;"leer";f
1355;384;0;0;0;0;f;f;f;f;f;"leer";f
4071;384;0;0;0;0;f;f;f;f;f;"leer";f
1390;384;0;0;0;0;f;f;f;f;f;"leer";f
1389;384;0;0;0;0;f;f;f;f;f;"leer";f
878;384;0;0;0;0;f;f;f;f;f;"leer";f
43;380;8;0;1;0;f;f;f;f;f;"Steinhuegel.";f
44;380;8;0;1;0;f;f;f;f;f;"Steinhuegel.";f
45;380;8;0;1;0;f;f;f;f;f;"Steinhuegel.";f
46;380;8;0;1;0;f;f;f;f;f;"Steinhuegel.";f
47;380;0;0;0;0;f;f;f;f;f;"Steinhuegel.";f
48;380;0;0;0;0;f;f;f;f;f;"Steinhuegel.";f
49;380;8;0;1;0;f;f;f;f;f;"Steinhuegel.";f
129;384;0;0;0;0;f;f;f;f;f;"Heute nicht mehr zu lokalisieren.";f
130;384;0;0;0;0;f;f;f;f;f;"Heute nicht mehr zu lokalisieren.";f
131;384;0;0;0;0;f;f;f;f;f;"Heute nicht mehr zu lokalisieren.";f
132;384;0;0;0;0;f;f;f;f;f;"Heute nicht mehr zu lokalisieren.";f
133;384;0;0;0;0;f;f;f;f;f;"Heute nicht mehr zu lokalisieren.";f
143;380;18;0;0.6;0;f;f;f;f;f;"leer";f
144;380;14;0;0.3;0;f;f;f;f;f;"leer";f
149;380;13;0;0.6;0;f;f;f;f;f;"leer";f
148;380;13;0;0.5;0;f;f;f;f;f;"leer";f
147;380;12;0;0.3;0;f;f;f;f;f;"leer";f
146;380;14;0;0.3;0;f;f;f;f;f;"leer";f
145;380;15;0;0.3;0;f;f;f;f;f;"leer";f
151;380;16;0;1;0;f;f;f;f;f;"seitlich flache Mulde, evtl. von einem Baumstumpf";f
184;380;12;0;0.3;0;f;f;f;f;f;"flach, unberührt";f
182;380;38;0;1.5;0;f;f;f;f;f;"Groß, Mulde";f
183;380;13;0;0.6;0;f;f;f;f;f;"unberührt";f
181;380;9;0;0.2;0;f;f;f;f;f;"flach, unberührt";f
180;380;10;0;0.4;0;f;f;f;f;f;"vom Weg geschnitten, undeutlich";f
179;380;11;0;0.5;0;f;f;f;f;f;"vom Weg mitten durchschnitten";f
178;380;12;0;1;0;f;f;f;f;f;"N-Hälfte vom Weg abgeschnitten";f
